theDate,what day whas it,sleephours,was i on time for work
1/8/99,Friday,7,Yes
Janury 15 1999,friday,5,No
1/25/1999,Monday,8,No
1/28/1999,thursday,8,Yes
2/9/99,Tuesday,six,Yes
2/11/1999,Thursday,7,No
"February 15, 1999",Monday,8,Yes
2/19/1999,Friday,10,Yes
3/3/1999,Wednesday,5,n
3/4/1999,Thursday,9,Yes 
3/5/1999,Fridday,8,Y
"March 8, 1999",Monday,11,Yes
3/15/99,Monday,8,yep
3/16/1999,Tuesday,8,Yes
3/17/1999,Wedensday,6.5,N
4/1/99,Thursday,7,Yes
4/12/1999,Monday,8,Yes
4/20/1999,Tuesday,10,Yes
4/27/99,Tuesday,7,Yes
5/5/1999,Wednesday,6,N
5/12/1999,Wednseday ,9,Yes
5/13/99,Thursday,7,Yes
5/17/1999,monday,7 and a half,Y
May 25 1999,Tuesday,8,YES
5/27/1999,Thursday,8,No
6/1/1999,tuesday,7,Yes
6/7/1999,Monday,10,Yes
6/11/1999,Friday,6,NO
6/15/99,Tuesday,8,Yes
6/24/1999,thursday,7.5,Yes
7/1/1999,Thursday,7,No
July 6 1999,Wednesday,5,Yes
7/12/1999,Monday,8,Y
7/20/1999,tuesday,9,Yes
7/21/99,Wednesday,6,No
7/23/1999,fridya,8,Yes
8/3/1999,Tuesday,7,Yes
8/5/1999,Thursday,6,Y
8/16/1999,Modnay,8,Yes
Aug 27 1999,Friday,4,Yes
"August 31, 1999",Teusday,7,yep
"September 1, 1999",Wednesday,11,Yes
9/10/1999,Friday,7,Yes
9/20/1999,Monday,7,No
9/23/1999,thursdayy,7.5,Yes
9/28/1999,Monday,8,Yes
10/1/99,Friday,7,Y
10/4/1999,Monday,6,Yes
10/5/1999,tuesday,9,Yes
10/14/1999,Thursday,8,Yes
10/22/1999,Friday,7,No
10/25/99,Monday,7,Yes
10/27/1999,Wednesday,8,Y
11/2/1999,Tuesday,7,Yes
11/3/1999,Wednseday ,8,Yes
11/8/1999,monday,5,Yes
11/18/99,Thursday,8,No
12/1/1999,Wednesday,7,Yes
12/3/1999,Friday,6,N
12/6/1999,Monday,6.5,Yes
12/13/1999,Monday,9,Yes
12/16/1999,Thursday,7,Yes
12/21/99,Tuesday,8,Y
